Year,Country,Documents,Citable documents,Sqrt(Documents),Citations,Self-citations,Sqrt(citations),Citations per document,H index,continent
2000,United Kingdom,105265,97603,312.4147884,4085197,861521,1795,38.81,1373,Europa
2001,United Kingdom,100860,92772,304.5849635,3800651,818574,1727,37.68,1373,Europa
2002,United Kingdom,104976,96309,310.3369137,4055709,864723,1786,38.63,1373,Europa
2003,United Kingdom,116093,101674,318.8636072,4316338,924906,1842,37.18,1373,Europa
2004,United Kingdom,123087,108593,329.5345202,4475313,961942,1874,36.36,1373,Europa
2005,United Kingdom,136228,118319,343.9752898,4572260,985865,1894,33.56,1373,Europa
2006,United Kingdom,145240,124128,352.3180381,4312286,957491,1832,29.69,1373,Europa
2007,United Kingdom,153729,129037,359.2172045,4309229,962900,1829,28.03,1373,Europa
2008,United Kingdom,156950,129890,360.4025527,4135175,936821,1788,26.35,1373,Europa
2009,United Kingdom,167149,138331,371.9287566,4192504,953961,1800,25.08,1373,Europa
2010,United Kingdom,172923,141503,376.1688451,4186936,976009,1792,24.21,1373,Europa
2011,United Kingdom,177393,146362,382.5728689,3837494,920505,1708,21.63,1373,Europa
2012,United Kingdom,191251,152866,390.9808179,3623444,881881,1656,18.95,1373,Europa
2013,United Kingdom,198445,158971,398.7116753,3222954,806867,1554,16.24,1373,Europa
2014,United Kingdom,195048,162654,403.3038557,2688399,678153,1418,13.78,1373,Europa
2015,United Kingdom,200087,166159,407.6260541,2141633,554686,1260,10.7,1373,Europa
2016,United Kingdom,204237,169669,411.9089705,1491360,397543,1046,7.3,1373,Europa
2017,United Kingdom,209593,171587,414.2306121,784331,217388,753,3.74,1373,Europa
2018,United Kingdom,211710,172148,414.9072185,187806,60392,357,0.89,1373,Europa
1996,United States,357538,347986,589.9033819,13402429,6170754,2689,37.49,2222,North America
1997,United States,358351,348410,590.2626534,13919922,6393701,2743,38.84,2222,North America
1998,United States,355856,343824,586.365074,14786483,6743727,2836,41.55,2222,North America
1999,United States,354399,339575,582.730641,15044079,6844255,2864,42.45,2222,North America
2000,United States,369874,353714,594.738598,16550513,7381871,3028,44.75,2222,North America
2001,United States,372843,354195,595.14284,16535493,7400241,3022,44.35,2222,North America
2002,United States,396004,375074,612.4328535,16989865,7593693,3065,42.9,2222,North America
2003,United States,431318,397493,630.4704593,17734115,7879821,3139,41.12,2222,North America
2004,United States,465164,429251,655.1724964,18095159,8004308,3177,38.9,2222,North America
2005,United States,514377,465493,682.2704742,17972350,7959624,3164,34.94,2222,North America
2006,United States,529509,471935,686.9752543,16522492,7347080,3029,31.2,2222,North America
2007,United States,531652,468205,684.2550694,15543625,6936226,2934,29.24,2222,North America
2008,United States,539449,472999,687.7492276,15014204,6695753,2884,27.83,2222,North America
2009,United States,576717,502808,709.0895571,14922032,6707811,2866,25.87,2222,North America
2010,United States,600345,519583,720.8210596,14970702,6740319,2869,24.94,2222,North America
2011,United States,621884,537862,733.3907553,13667185,6202413,2732,21.98,2222,North America
2012,United States,659053,552605,743.3740647,12413583,5685060,2594,18.84,2222,North America
2013,United States,665898,562123,749.7486245,10660839,4927205,2395,16.01,2222,North America
2014,United States,664528,569415,754.5959184,8799823,4082698,2172,13.24,2222,North America
2015,United States,669588,569768,754.8297821,6760664,3158638,1898,10.1,2222,North America
2016,United States,669204,571797,756.1725993,4495448,2125742,1539,6.72,2222,North America
2017,United States,683590,577629,760.0190787,2326280,1118935,1099,3.4,2222,North America
2018,United States,683003,570104,755.0523161,528530,268883,510,0.77,2222,North America
1996,Argentina,4244,4195,64.76881966,76105,18007,241,17.93,393,Sur America
1997,Argentina,4850,4797,69.26037828,104810,20931,290,21.61,393,Sur America
1998,Argentina,4866,4810,69.35416354,113672,24142,299,23.36,393,Sur America
1999,Argentina,5220,5150,71.76350047,109725,23863,293,21.02,393,Sur America
2000,Argentina,5610,5527,74.34379598,128509,25846,320,22.91,393,Sur America
2001,Argentina,5793,5662,75.24626237,128704,24544,323,22.22,393,Sur America
2002,Argentina,6217,6067,77.89094941,143102,28721,338,23.02,393,Sur America
2003,Argentina,6306,6097,78.08328887,154525,29684,353,24.5,393,Sur America
2004,Argentina,6611,6403,80.0187478,167091,31407,368,25.27,393,Sur America
2005,Argentina,7100,6768,82.2678552,163936,31479,364,23.09,393,Sur America
2006,Argentina,7863,7547,86.87347121,171843,33301,372,21.85,393,Sur America
2007,Argentina,8176,7769,88.141931,165059,32023,365,20.19,393,Sur America
2008,Argentina,9101,8571,92.5796954,181284,35726,382,19.92,393,Sur America
2009,Argentina,10171,9603,97.99489783,184410,35869,385,18.13,393,Sur America
2010,Argentina,10807,10058,100.2895807,190811,36960,392,17.66,393,Sur America
